CODUSU,nro_hogar,ch03,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,ipcf,cat_ocup,pp03c,pp03i,pp10a,p21,tot_p12,t_vi,itf,ch12,ch13,ch14,pp3e_tot,pp3f_tot,df,rango_edad,adulto_esquiv,ID_hogar,ad_equiv_hogar,ingreso_necesario,pobre
143739  ,1.0,4.0,1.0,50.0,2.0,1.0,2.0,1.0,,398.57142857142856,3.0,1.0,2.0,,1200.0,,,2790.0,2.0,1.0,  ,66.0,0.0,T105,46 a 60 años,1.0,143739  -1.0,5.04,1033.5528,0
143739  ,1.0,5.0,2.0,25.0,5.0,1.0,6.0,2.0,,398.57142857142856,2.0,,,5.0,,,,2790.0,7.0,1.0,  ,0.0,0.0,T105,18 a 29 años,0.76,143739  -1.0,5.04,1033.5528,0
143739  ,1.0,5.0,2.0,22.0,5.0,1.0,5.0,3.0,3.0,398.57142857142856,,,,,,,,2790.0,7.0,2.0,04,0.0,0.0,T105,18 a 29 años,0.76,143739  -1.0,5.04,1033.5528,0
143739  ,1.0,9.0,2.0,0.0,5.0,2.0,7.0,4.0,5.0,398.57142857142856,,,,,,,,2790.0,0.0,0.0,  ,0.0,0.0,T105,Menor de 1 año,0.35,143739  -1.0,5.04,1033.5528,0
144133  ,1.0,1.0,2.0,46.0,3.0,1.0,6.0,1.0,,266.5,3.0,1.0,2.0,,533.0,,,533.0,7.0,1.0,  ,45.0,0.0,T105,46 a 60 años,0.76,144133  -1.0,1.72,352.7204,0
144133  ,1.0,3.0,1.0,14.0,5.0,1.0,2.0,3.0,3.0,266.5,,,,,,,,533.0,3.0,2.0,07,0.0,0.0,T105,14 años,0.96,144133  -1.0,1.72,352.7204,0
144150  ,1.0,1.0,1.0,60.0,1.0,4.0,4.0,1.0,,150.0,3.0,1.0,1.0,,300.0,,,450.0,4.0,1.0,  ,60.0,0.0,T105,46 a 60 años,1.0,144150  -1.0,2.52,516.7764,1
144150  ,1.0,2.0,2.0,60.0,1.0,4.0,4.0,3.0,4.0,150.0,,,,,,,,450.0,4.0,1.0,  ,0.0,0.0,T105,46 a 60 años,0.76,144150  -1.0,2.52,516.7764,1
144150  ,1.0,3.0,2.0,22.0,5.0,1.0,4.0,1.0,,150.0,3.0,1.0,1.0,,,150.0,,450.0,4.0,1.0,  ,8.0,0.0,T105,18 a 29 años,0.76,144150  -1.0,2.52,516.7764,1
144219  ,1.0,1.0,1.0,52.0,2.0,12.0,1.0,1.0,,137.5,2.0,1.0,2.0,,400.0,,,550.0,2.0,2.0,04,44.0,0.0,T105,46 a 60 años,1.0,144219  -1.0,3.49,715.6943,1
144219  ,1.0,2.0,2.0,40.0,2.0,12.0,2.0,1.0,,137.5,3.0,1.0,2.0,,150.0,,,550.0,2.0,1.0,  ,20.0,0.0,T105,30 a 45 años,0.77,144219  -1.0,3.49,715.6943,1
144219  ,1.0,3.0,2.0,20.0,5.0,12.0,5.0,3.0,3.0,137.5,,,,,,,,550.0,6.0,2.0,02,0.0,0.0,T105,18 a 29 años,0.76,144219  -1.0,3.49,715.6943,1
144219  ,1.0,3.0,1.0,14.0,5.0,12.0,3.0,3.0,3.0,137.5,,,,,,,,550.0,3.0,2.0,08,0.0,0.0,T105,14 años,0.96,144219  -1.0,3.49,715.6943,1
144238  ,1.0,1.0,2.0,46.0,4.0,1.0,5.0,3.0,1.0,329.0,,,,,,,658.0,658.0,7.0,2.0,02,0.0,0.0,T105,46 a 60 años,0.76,144238  -1.0,1.42,291.19939999999997,0
144238  ,1.0,3.0,1.0,7.0,5.0,1.0,1.0,4.0,3.0,329.0,,,,,,,,658.0,3.0,2.0,01,0.0,0.0,T105,7 años,0.66,144238  -1.0,1.42,291.19939999999997,0
144908  ,1.0,1.0,2.0,51.0,1.0,4.0,1.0,1.0,,132.0,3.0,1.0,1.0,,60.0,,,660.0,2.0,2.0,05,17.0,0.0,T105,46 a 60 años,0.76,144908  -1.0,4.32,885.9024000000001,1
144908  ,1.0,3.0,1.0,19.0,5.0,4.0,1.0,1.0,,132.0,3.0,1.0,2.0,,280.0,,,660.0,2.0,2.0,05,70.0,0.0,T105,18 a 29 años,1.02,144908  -1.0,4.32,885.9024000000001,1
144908  ,1.0,3.0,2.0,16.0,5.0,4.0,2.0,1.0,,132.0,3.0,1.0,2.0,,200.0,,,660.0,2.0,1.0,  ,40.0,0.0,T105,16 años,0.77,144908  -1.0,4.32,885.9024000000001,1
144908  ,1.0,3.0,2.0,15.0,5.0,4.0,1.0,2.0,,132.0,3.0,,,2.0,,100.0,,660.0,2.0,2.0,06,0.0,0.0,T105,15 años,0.77,144908  -1.0,4.32,885.9024000000001,1
144908  ,1.0,2.0,1.0,40.0,1.0,4.0,2.0,2.0,,132.0,2.0,,,3.0,,20.0,,660.0,2.0,1.0,  ,0.0,0.0,T105,30 a 45 años,1.0,144908  -1.0,4.32,885.9024000000001,1
145171  ,1.0,1.0,2.0,47.0,1.0,4.0,1.0,1.0,,37.5,3.0,1.0,2.0,,150.0,,,300.0,2.0,2.0,01,15.0,0.0,T105,46 a 60 años,0.76,145171  -1.0,6.43,1318.6000999999999,1
145171  ,1.0,2.0,1.0,45.0,1.0,4.0,1.0,1.0,,37.5,3.0,2.0,1.0,,150.0,,,300.0,2.0,2.0,01,24.0,10.0,T105,30 a 45 años,1.0,145171  -1.0,6.43,1318.6000999999999,1
