,log_precio_m2,log_precio_m2,log_precio_m2,log_precio_m2,precio_m2,precio_m2,precio_m2,precio_m2,superficie_ref,superficie_ref,superficie_ref,superficie_ref,CantidadDormitorios,CantidadDormitorios,CantidadDormitorios,CantidadDormitorios
,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std
month,,,,,,,,,,,,,,,,
2024-04,377771,6.788502512156306,7.203219491875973,1.5217153303754778,377771,3277.0677392819857,1343.75,127619.33428782018,377778,191642.6163715992,110.0,50647899.18691244,265667,2.3568452235317143,2.0,1.143199680554596
2024-05,386376,6.802220273182212,7.232170432667381,1.5307226376644207,386376,2521.9426559321564,1383.2214381079534,79401.51751501155,386383,138987.34757002766,108.0,34894412.47666188,280207,2.3475323600052818,2.0,1.1456370334923311
2024-06,332077,6.686732278413607,7.166265974133638,1.63436271807394,332077,2072.3109685868712,1295.0,64104.47691220392,332082,445154.5979854674,115.0,111417974.77161363,234032,2.37144493060778,2.0,1.1461820056045526
2024-07,404202,6.787564787642407,7.202263316504318,1.5817911740271442,404202,3485.9486454421913,1342.4657534246576,168854.7928772892,404256,1054902.6880493055,109.0,283495718.00595415,296011,2.3304167750522784,2.0,1.1453619868338325
2024-08,401576,6.6738582357665805,7.152877737015122,1.6472772193503211,401576,3429.980796659222,1277.7777777777778,175540.7505853798,401606,4443372.65288046,115.0,2436503046.510217,282856,2.3682333059931557,2.0,1.1387845543632689
2024-09,332111,6.73394579496581,7.167266474467222,1.6100286501334615,332111,2765.076466204125,1296.2962962962963,76304.64875028632,332140,5932468.361187812,111.0,2695767349.65436,237386,2.368433690276596,2.0,1.137884132014502
2024-10,422757,6.698841546149594,7.196988942125337,1.6422435652644385,422757,2146.076018798325,1335.4037267080746,60568.32616742359,422778,3683875.853777467,120.0,2359773715.5769005,294295,2.380037037666287,2.0,1.1508605482935081
2024-11,349651,6.752941938223394,7.202872329921436,1.5568777581082962,349651,2534.568525498293,1343.2835820895523,96747.62622210382,349696,1880912.5038339873,110.0,720078081.7223308,248106,2.358399232586072,2.0,1.1375481382647974
2024-12,426423,6.620921342627777,7.12420984214555,1.7734549818344263,426423,2309.484640025093,1241.6666666666667,68049.7410412242,426428,510182.3295920061,120.0,263105993.92244428,294264,2.369311230731588,2.0,1.1382188233815171
2025-01,336209,6.861588416620108,7.283544618944185,1.5497509074143438,336209,2435.348886474428,1456.140350877193,91320.84702524317,336216,846682.1122133093,100.0,166744499.99448672,247927,2.3471989738915084,2.0,1.1428631391598465
2025-02,327908,6.914863745889938,7.2858214129021865,1.4718268554347451,327908,4324.632181781502,1459.4594594594594,803705.0225641071,327930,94192.0070729119,96.0,34988606.077673085,244826,2.3316886278418143,2.0,1.1465813548893364
2025-03,293846,6.858485928722553,7.277502304488222,1.61691058974267,293846,2282.5018301660375,1447.3684210526317,71906.58088680517,293881,47588.319595312394,100.0,12171016.538351396,216540,2.3546457929250946,2.0,1.1373676624884819
2025-04,349985,6.794272076635359,7.226209010100671,1.543429909942053,349985,2248.8433546892547,1375.0,59400.49019718858,350022,64302.40667943729,108.0,17422971.983482335,251108,2.3677461490673335,2.0,1.1504359727856501
2025-05,339388,6.856095364330626,7.27399967393702,1.536466052529625,339388,2349.0910606817733,1442.3076923076924,61060.29442458024,339421,24823.983143382407,105.0,8002679.270508275,245494,2.346725378216983,2.0,1.1488545993409232
2025-06,304824,6.757402289304896,7.217910207285977,1.5749141592937563,304824,2346.0187277695854,1363.6363636363637,87114.9952366384,304843,37846.088777239434,110.0,10190533.088259794,214438,2.3589522379429018,2.0,1.1571481015786917
2025-07,306778,6.793883929674643,7.2551565861355405,1.5873073678925496,306778,2425.9235853704536,1415.3846153846155,95013.63807655773,306795,577162.820283577,104.0,138555265.06368524,216987,2.328535810901114,2.0,1.13631593278934
2025-08,273162,6.723447372193594,7.2078598714324755,1.5943295096514067,273162,2137.297221534154,1350.0,65665.11127737956,273189,26146.906444805612,110.0,3403438.966362202,192675,2.348254833268457,2.0,1.142053640866004
2025-09,292934,6.825933118848611,7.275480059107454,1.537003988950971,292934,2082.2988447006246,1444.4444444444443,62236.34572055803,292944,65556.48330500026,107.0,17693029.618796427,215271,2.3619066200277787,2.0,1.139481738613158
2025-10,228262,6.648938624633643,7.1308988302963465,1.626147444972396,228262,2083.784155260058,1250.0,77290.55354507749,228262,33832.081940533244,120.0,9855950.986300137,161550,2.3739275766016714,2.0,1.1415592189577741
